stock_code,fiscal_year,section_chars_II,section_chars_IV,section_chars_VI,total_chars,rcept_no
000020,2022,10721,4077,1290,16092,20230315001100
000020,2023,12614,3802,1254,17674,20240319000652
000020,2024,12249,4250,1397,17900,20250318000739
000040,2022,9796,1570,497,11867,20230322001182
000040,2023,10540,1436,546,12526,20240321002062
000040,2024,10386,1342,433,12165,20250319000576
000050,2022,10624,3771,1806,16205,20230317000682
000050,2023,9873,3436,1851,15164,20240320000197
000050,2024,9937,3396,1715,15052,20250320001362
000070,2022,25251,5830,1251,32336,20230316001063
000070,2023,25458,6016,1028,32506,20240314001491
000070,2024,25450,5978,1044,32476,20250320000941
000080,2022,33911,17703,5497,57115,20230316001349
000080,2023,33182,15470,5298,53954,20240314000553
000080,2024,36195,12948,5437,54584,20250313000666
000100,2022,11423,30693,2824,44944,20230315001431
000100,2023,11509,31363,2581,45457,20240307000960
000100,2024,14649,30054,2882,47589,20250312001137
000120,2022,16986,8593,3443,29026,20230317000857
000120,2023,16855,8535,3450,28844,20240320001789
000120,2024,16621,6430,3472,26527,20250317000953
000140,2022,35599,16989,1884,54476,20230316001297
000140,2023,34504,17249,1947,53704,20240314000623
000140,2024,37821,12807,1809,52441,20250313001306
000150,2022,74071,15233,2459,91767,20230321001440
000150,2023,84800,21760,1982,108546,20240418000399
000150,2024,89889,13177,2244,105314,20250321001806
000180,2022,22564,4839,2494,29901,20230314001199
000180,2023,22037,4768,2575,29384,20240318000483
000180,2024,22117,4629,1953,28703,20250317000553
000210,2022,52818,13679,2649,69150,20230317000003
000210,2023,56736,14955,2367,74062,20240314001785
000210,2024,55682,13978,2256,71920,20250317000751
000220,2022,7324,3487,1074,11889,20230322001027
000220,2023,7580,3179,1195,11958,20240320001162
000220,2024,7725,2917,964,11610,20250319000817
000230,2022,40343,2491,1503,44341,20230316001183
000230,2023,43258,2436,1587,47285,20240314001097
000230,2024,25649,2246,1705,29604,20250318001009
000240,2022,8567,4775,2942,16288,20230324001090
000240,2023,9064,4280,2726,16074,20240320001601
000240,2024,9014,4159,2977,16154,20250318000944
000250,2022,12010,4793,1458,18265,20230321000689
000250,2023,12452,5947,1339,19742,20240320001960
000250,2024,11522,5520,1501,18547,20250318001341
000270,2022,24517,11602,3228,39351,20230309000734
000270,2023,22067,8369,3351,33791,20240312000909
000270,2024,22345,7961,3538,33848,20250306000691
000320,2022,21062,5822,1635,28523,20230316001033
000320,2023,18789,5425,1633,25851,20240321001014
000320,2024,20193,5377,1524,27098,20250313001148
000370,2022,9645,10752,3988,24389,20230314001218
000370,2023,9671,6129,4511,20315,20240313000997
000370,2024,9601,6041,3454,19100,20250311001216
000390,2022,17832,6886,2067,26789,20230316001290
000390,2023,18406,8972,2340,29722,20240320000357
000390,2024,19866,9182,2164,31216,20250312000816
000400,2022,4202,3293,1623,9122,20230323001495
000400,2023,4072,3481,1938,9495,20240321001822
000400,2024,3943,3525,2222,9694,20250320001732
000430,2022,9459,5881,2289,17633,20230316000976
000430,2023,9296,6372,2223,17895,20240315000516
000430,2024,8520,4507,4373,17404,20250318001210
000480,2022,13017,3996,3729,20746,20230315001326
000480,2023,13482,3011,5365,21862,20240313001576
000480,2024,13825,3156,3977,20962,20250311001197
000490,2022,9953,3341,1755,15053,20230322000832
000490,2023,10681,3171,1954,15810,20240320001807
000490,2024,11079,3415,2268,16766,20250318001356
000500,2022,7710,4581,1626,13921,20230315001078
000500,2023,7519,4567,1511,13601,20240318000764
000500,2024,7620,4607,1565,13796,20250317000782
000520,2022,10869,5229,1675,17777,20230316001021
000520,2023,10792,3566,1672,16034,20240314001673
000520,2024,10408,3822,1813,16047,20250313001455
000540,2022,4984,5782,2569,13339,20230316001454
000540,2023,4747,5015,2582,12348,20240321001884
000540,2024,4943,4979,2700,12626,20250320001444
000590,2022,7358,3286,1699,12347,20230323001033
000590,2023,7390,3273,1699,12366,20240321001387
000590,2024,7357,3368,1284,12013,20250321001425
000640,2022,15290,9823,2013,27130,20230321001017
000640,2023,15295,10813,1620,27732,20240320001846
000640,2024,15973,8231,1664,25872,20250321001899
000650,2022,1280,1907,1497,4688,20230316001173
000650,2023,1279,1911,1496,4690,20240321001343
000650,2024,1280,1899,1330,4513,20250320001184
000660,2022,26061,9043,6637,41745,20230321001209
000660,2023,27771,8313,5747,41835,20240319000684
000660,2024,25104,7188,5766,38062,20250319000665
000670,2022,16627,26409,1885,44925,20230314000637
000670,2023,15728,27448,1330,44510,20240312000923
000670,2024,14791,25216,1786,41797,20250319001075
000680,2022,10623,7678,3480,21785,20230316000757
000680,2023,14142,15339,4072,33557,20240320001453
000680,2024,24725,18126,3788,46643,20250319001010
000700,2022,16408,9339,2926,28677,20230321001229
000700,2023,16419,10082,2810,29315,20240320001569
000700,2024,17240,9525,2677,29446,20250321001882
000720,2022,20044,9298,2933,32279,20230315001104
000720,2023,20726,11330,2668,34728,20240329003141
000720,2024,22051,9012,2627,33694,20250312001136
000760,2022,6534,1552,2764,10854,20230316000343
000760,2023,6542,1552,3203,11301,20240321000690
000760,2024,6622,1551,2835,11012,20250320000337
000810,2022,22170,21358,3488,47020,20230309000772
000810,2023,24850,25206,3761,53821,20240429000782
000810,2024,23206,24258,3672,51140,20250311001055
000850,2022,14518,3368,2770,20660,20230315000315
000850,2023,14659,3072,2901,20636,20240313000479
000850,2024,15048,2916,3183,21151,20250312000803
000860,2022,15286,7226,2365,24881,20230320000691
000860,2023,16496,7561,2381,26442,20240320001810
000860,2024,15306,7616,3092,26018,20250318001036
000880,2022,138539,24821,3205,166569,20230321001313
000880,2023,135260,28604,3572,167440,20240430000953
000880,2024,139575,37342,3619,180540,20250318001429
000890,2022,9501,7213,1825,18543,20230321001480
000890,2023,10140,8440,1916,20500,20240318000717
000890,2024,11636,6427,1993,20060,20250318001002
000910,2022,12923,5674,1075,19676,20230323001190
000910,2023,12856,6571,958,20389,20240321001439
000910,2024,12818,7419,958,21199,20250320001552
000950,2022,9297,2989,1463,13753,20230315001304
000950,2023,9782,2889,1463,14138,20240314001271
000950,2024,7315,2993,1478,11790,20250320000970
000970,2022,9648,2591,1028,13271,20230316000941
000970,2023,9523,2495,1030,13052,20240321000781
000970,2024,9557,2622,2069,14252,20250320000304
000990,2022,10098,4880,1859,16841,20230321001125
000990,2023,10463,5156,2520,18143,20240320002017
000990,2024,11278,5195,2544,19021,20250312001130
001020,2022,8450,2938,1652,13044,20230323001248
001020,2023,8057,2782,1381,12224,20240321001475
001020,2024,7934,2252,1006,11196,20250320001403
001040,2022,86630,54497,4078,145209,20230321001305
001040,2023,90391,72257,3613,166265,20240320001996
001040,2024,87244,66854,3897,157999,20250318001349
