total_tokens,esg_signal_count,g_signal_count,bp_count,esg_signal_ratio,g_signal_ratio,bp_contamination_rate,esg_g_relative,stock_code,fiscal_year,rcept_no,n_tokens,esg_tfidf_concentration
2395,6,51,0,0.0025,0.0213,0.0,1.0,000020,2022,20230315001100.0,2395,0.0143
2558,7,49,0,0.0027,0.0192,0.0,1.0,000020,2023,20240319000652.0,2558,0.0077
2610,7,49,0,0.0027,0.0188,0.0,1.0,000020,2024,20250318000739.0,2610,0.0075
1367,2,13,0,0.0015,0.0095,0.0,1.0,000040,2022,20230322001182.0,1367,0.0
1558,2,13,0,0.0013,0.0083,0.0,1.0,000040,2023,20240321002062.0,1558,0.0
1582,5,17,0,0.0032,0.0107,0.0,1.0,000040,2024,20250319000576.0,1582,0.0
2044,1,58,0,0.0005,0.0284,0.0,1.0,000050,2022,20230317000682.0,2044,0.039
2260,1,62,0,0.0004,0.0274,0.0,1.0,000050,2023,20240320000197.0,2260,0.0389
2273,2,58,0,0.0009,0.0255,0.0,1.0,000050,2024,20250320001362.0,2273,0.036
5030,49,67,0,0.0097,0.0133,0.0,1.0,000070,2022,20230316001063.0,5028,0.0064
5046,57,62,0,0.0113,0.0123,0.0,1.0,000070,2023,20240314001491.0,5044,0.0
5043,54,64,0,0.0107,0.0127,0.0,1.0,000070,2024,20250320000941.0,5041,0.0
7868,17,165,0,0.0022,0.021,0.0,1.0,000080,2022,20230316001349.0,7867,0.0144
7288,14,162,0,0.0019,0.0222,0.0,1.0,000080,2023,20240314000553.0,7287,0.0155
7344,13,148,0,0.0018,0.0202,0.0,1.0,000080,2024,20250313000666.0,7340,0.0146
6239,17,93,0,0.0027,0.0149,0.0,1.0,000100,2022,20230315001431.0,6238,0.0061
6405,30,97,0,0.0047,0.0151,0.0,1.0,000100,2023,20240307000960.0,6404,0.0063
6913,32,103,0,0.0046,0.0149,0.0,1.0,000100,2024,20250312001137.0,6910,0.0062
4238,9,81,0,0.0021,0.0191,0.0,1.0,000120,2022,20230317000857.0,4238,0.0067
4222,9,82,0,0.0021,0.0194,0.0,1.0,000120,2023,20240320001789.0,4222,0.0067
3815,6,91,0,0.0016,0.0239,0.0,1.0,000120,2024,20250317000953.0,3815,0.0206
7461,23,103,0,0.0031,0.0138,0.0,1.0,000140,2022,20230316001297.0,7460,0.0
7300,24,93,0,0.0033,0.0127,0.0,1.0,000140,2023,20240314000623.0,7299,0.0
7051,14,85,0,0.002,0.0121,0.0,1.0,000140,2024,20250313001306.0,7047,0.0
13904,190,89,0,0.0137,0.0064,0.0,1.0,000150,2022,20230321001440.0,13904,0.0208
16668,152,93,0,0.0091,0.0056,0.0,1.0,000150,2023,20240418000399.0,16668,0.019
16401,249,86,0,0.0152,0.0052,0.0,1.0,000150,2024,20250321001806.0,16401,0.0224
4176,21,80,0,0.005,0.0192,0.0,1.0,000180,2022,20230314001199.0,4176,0.0133
4094,23,81,0,0.0056,0.0198,0.0,1.0,000180,2023,20240318000483.0,4094,0.0134
4171,39,77,0,0.0094,0.0185,0.0,1.0,000180,2024,20250317000553.0,4171,0.0094
10264,112,108,0,0.0109,0.0105,0.0,1.0,000210,2022,20230317000003.0,10264,0.0
