stock_code,fiscal_year,esg_year,company_name,esg_grade,status,reason,rcept_no,sub_status
005930,2022,2022,삼성전자,A,SUCCESS,,20230307000542.0,
005930,2023,2023,삼성전자,A,SUCCESS,,20240312000736.0,
005930,2024,2024,삼성전자,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001460,2022,2022,BYC,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001460,2023,2023,BYC,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001460,2024,2024,BYC,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
005380,2022,2022,현대자동차,B+,SUCCESS,,20230315001030.0,
005380,2023,2023,현대자동차,A,SUCCESS,,20240314001531.0,
005380,2024,2024,현대자동차,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000120,2022,2022,CJ대한통운,B+,SUCCESS,,20230317000857.0,
000120,2023,2023,CJ대한통운,A,SUCCESS,,20240320001789.0,
000120,2024,2024,CJ대한통운,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
097950,2022,2022,CJ제일제당,A,SUCCESS,,20230417000204.0,
097950,2023,2023,CJ제일제당,A,SUCCESS,,20240319000861.0,
097950,2024,2024,CJ제일제당,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001040,2022,2022,CJ,B+,SUCCESS,,20230321001305.0,
001040,2023,2023,CJ,A,SUCCESS,,20240320001996.0,
001040,2024,2024,CJ,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
035760,2022,2022,CJ ENM,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
035760,2023,2023,CJ ENM,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
035760,2024,2024,CJ ENM,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
282330,2022,2022,BGF리테일,A,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
282330,2023,2023,BGF리테일,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
282330,2024,2024,BGF리테일,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
051500,2022,2022,CJ프레시웨이,A,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
051500,2023,2023,CJ프레시웨이,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
051500,2024,2024,CJ프레시웨이,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000660,2022,2022,SK하이닉스,B+,SUCCESS,,20230321001209.0,
000660,2023,2023,SK하이닉스,A,SUCCESS,,20240319000684.0,
000660,2024,2024,SK하이닉스,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
035420,2022,2022,NAVER,A,SUCCESS,,20230314001049.0,
035420,2023,2023,NAVER,A+,SUCCESS,,20240318000844.0,
035420,2024,2024,NAVER,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
035720,2022,2022,카카오,A,SUCCESS,,20230320001096.0,
035720,2023,2023,카카오,A,SUCCESS,,20240418000375.0,
035720,2024,2024,카카오,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
036570,2022,2022,엔씨소프트,A,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
036570,2023,2023,엔씨소프트,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
036570,2024,2024,엔씨소프트,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
018260,2022,2022,삼성에스디에스,A,SUCCESS,,20230307000606.0,
018260,2023,2023,삼성에스디에스,A,SUCCESS,,20240329003204.0,
018260,2024,2024,삼성에스디에스,A,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
068270,2022,2022,셀트리온,B,SUCCESS,,20230320000842.0,
068270,2023,2023,셀트리온,B,SUCCESS,,20240318000913.0,
