stock_code,fiscal_year,esg_year,company_name,industry,esg_grade,e_grade,s_grade,g_grade,universe,in_corp_code,in_collected_reports,in_sections_extracted,in_firm_year_documents,in_features_expF,in_merged_expF,status,sub_status,reason,source_pipeline,recovery_method
000020,2022,2022,동화약품,,C,C,B+,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000020,2023,2023,동화약품,,C,C,B,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000020,2024,2024,동화약품,,C,B,B,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000040,2022,2022,KR모터스,,D,D,D,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000040,2023,2023,KR모터스,,D,D,D,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000040,2024,2024,KR모터스,,D,D,D,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000050,2022,2022,경방,,D,C,D,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000050,2023,2023,경방,,C,C,D,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000050,2024,2024,경방,,C,C,D,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000070,2022,2022,삼양홀딩스,,B+,B+,A,B,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000070,2023,2023,삼양홀딩스,,B+,A,A,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000070,2024,2024,삼양홀딩스,,A,A,A+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000080,2022,2022,하이트진로,,B,B,B+,B,memberA_127x3,True,True,True,True,False,False,SUCCESS,,,memberC_native,none_needed
000080,2023,2023,하이트진로,,B,A,A,C,memberA_127x3,True,True,True,True,False,False,SUCCESS,,,memberC_native,none_needed
000080,2024,2024,하이트진로,,B+,A,A,B,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000100,2022,2022,유한양행,,B+,B,A,B+,memberA_127x3,True,True,True,True,False,False,SUCCESS,,,memberC_native,none_needed
000100,2023,2023,유한양행,,A,B+,A+,A,memberA_127x3,True,True,True,True,False,False,SUCCESS,,,memberC_native,none_needed
000100,2024,2024,유한양행,,A,B+,A+,A,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000120,2022,2022,CJ대한통운,물류,B+,B+,A+,B,memberA_127x3,True,True,True,True,False,False,SUCCESS,,,memberC_native,none_needed
000120,2023,2023,CJ대한통운,물류,A,A,A+,B+,memberA_127x3,True,True,True,True,False,False,SUCCESS,,,memberC_native,none_needed
000120,2024,2024,CJ대한통운,물류,A,A,A+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000140,2022,2022,하이트진로홀딩스,,B,B,B+,B,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000140,2023,2023,하이트진로홀딩스,,B+,A,A,B,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000140,2024,2024,하이트진로홀딩스,,B+,A,A,B,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000150,2022,2022,두산,,B+,B+,A,B,memberA_127x3,True,True,True,True,False,False,SUCCESS,,,memberC_native,none_needed
